block,trial,condition,onset_time,duration,cumulative_onset
0,initial_rest,REST,1.4166580513119698e-06,9.0,9.000001416658051
1,1,TONGUE,9.05447250000725,9.040680749996682,18.095153250003932
1,2,LEFT ELBOW,18.097786500002258,9.041612541666836,27.139399041669094
1,3,RIGHT FOOT,27.141731499999878,9.041894250010955,36.18362575001083
1,4,LEFT FOOT,36.18511483333714,9.040032999997493,45.22514783333463
1,5,RIGHT ELBOW,45.2263857916696,9.040092583338264,54.266478375007864
1,6,RIGHT HAND,54.26829754166829,9.04072595834441,63.3090235000127
1,7,LEFT HAND,63.31047629166278,9.041677041677758,72.35215333334054
1,rest,REST,72.35228470833681,9.0,81.35228470833681
2,1,LEFT HAND,81.39954745833529,9.039162749992101,90.4387102083274
2,2,LEFT FOOT,90.43991541666037,9.03987187500752,99.47978729166789
2,3,RIGHT ELBOW,99.48220395833778,9.043083708325867,108.52528766666364
2,4,LEFT ELBOW,108.52673166665772,9.040196333342465,117.56692800000019
2,5,TONGUE,117.56842479166517,9.038639916674583,126.60706470833975
2,6,RIGHT HAND,126.60846966666577,9.041280749996076,135.64975041666185
2,7,RIGHT FOOT,135.65098720834067,9.039280666664126,144.6902678750048
2,rest,REST,144.69040454165952,9.0,153.69040454165952
3,1,RIGHT FOOT,153.7342936250061,9.039513750001788,162.7738073750079
3,2,RIGHT HAND,162.77580825000769,9.041952125000535,171.81776037500822
3,3,LEFT FOOT,171.81929579166172,9.03997883334523,180.85927462500695
3,4,LEFT HAND,180.86051383333688,9.039524083331344,189.90003791666823
3,5,TONGUE,189.9014823333273,9.041494208329823,198.94297654165712
3,6,RIGHT ELBOW,198.9449152083398,9.041507166664815,207.98642237500462
3,7,LEFT ELBOW,207.9876612083317,9.039254291681573,217.02691550001327
3,rest,REST,217.0270333750086,9.0,226.0270333750086
4,1,LEFT ELBOW,226.0709814166621,9.04096641666547,235.11194783332758
4,2,TONGUE,235.11393808333378,9.03931974999432,244.1532578333281
4,3,LEFT HAND,244.15505625000515,9.038760249997722,253.19381650000287
4,4,RIGHT HAND,253.19563558333903,9.041233416661271,262.2368690000003
4,5,RIGHT ELBOW,262.23832937500265,9.040361291656154,271.2786906666588
4,6,LEFT FOOT,271.27997979166685,9.040588249990833,280.3205680416577
4,7,RIGHT FOOT,280.32177537500684,9.03876075000153,289.36053612500837
4,final_rest,REST,289.3606850000069,9.0,298.3606850000069
